Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C8",0402,3,100nF,C14663
C2,0402,1,1uF,C14663
C3,0402,1,10nF,C14663
C5,0402,1,10uF,C14663
C7,0402,1,2.2uF,C14663
"R1, R2",0402,2,10k,C23162
R5,0402,1,200k,C23162
S1,GT-TC020B-H035-L05,1,GT-TC020B-H035-L05,
"TP1, TP2",2_4-1.5_3.5_1,2,BCon,
U2,ICM-42688-P,1,ICM-42688-P,
U3,MMC5983MA,1,MMC5983MA,
U4,K3-1295S-E1,1,K3-1295S-E1,
X1,OK252032.768KJBA4SL,1,~,
