Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinHeader_1x04_P2.54mm_Vertical,2,DNP,
SPR1,MY-FJ-590,1,MY-FJ-590,
U1,Treedix USB Type-C,1,DNP,
U2,YTC-TC16S-128,1,YTC-TC16S-128,
